ABBR,STATE,TOTPOP20,OTHERPOP20,BVAP20,NWBHVAP20,NWBHPOP20,APAPOP20,OTHERVAP20,AMINVAP20,WPOP20,NHPIPOP20,2MOREPOP20,APAMIVAP20,BPOP20,ASIANPOP20,NHPIVAP20,ASIANVAP20,VAP20,APBPOP20,APAMIPOP20,APAVAP20,2MOREVAP20,APBVAP20,WVAP20,DOJBVAP20,AMINPOP20,HVAP20,POCVAP20,POCVAP20%,POCVAP20SEATS
LA,Louisiana,4657757.0,16954.0,1066511.0,101291.0,131297.0,111836.0,11524.0,19531.0,2596702.0,1706.0,156096.0,74905.0,1452420.0,85336.0,1322.0,67983.0,3570548.0,1543119.0,103128.0,82947.0,97905.0,1115769.0,2082110.0,1091736.75,25994.0,223662.0,1488438.0,0.4168654223385318,2.501192534031191
ME,Maine,826128.0,2861.0,13894.0,14153.0,17820.0,18476.0,2147.0,1879.0,735451.0,248.0,33295.0,12882.0,21650.0,12226.0,205.0,9772.0,671061.0,29340.0,17235.0,13006.0,21833.0,17600.0,609237.0,16359.9,2307.0,12094.0,61824.0,0.09212873345344164,0.18425746690688327
MD,Maryland,6177218.0,35314.0,1388738.0,370533.0,471890.0,502172.0,23196.0,9788.0,2913781.0,2575.0,270762.0,93633.0,1795024.0,417962.0,2035.0,332666.0,4815198.0,1977450.0,128650.0,376559.0,165154.0,1492986.0,2401359.0,1440105.6833333333,12055.0,492262.0,2413839.0,0.5012958968665463,4.01036717493237
MA,Massachusetts,7029917.0,92108.0,351465.0,488365.0,612349.0,582484.0,68601.0,7430.0,4748897.0,1607.0,328278.0,69936.0,457055.0,504900.0,1391.0,407742.0,5663723.0,669866.0,94040.0,448120.0,216601.0,486313.0,3988985.0,399602.35,9387.0,621508.0,1674738.0,0.29569560516995624,2.661260446529606
MI,Michigan,10077328.0,37183.0,1021516.0,325145.0,422656.0,411928.0,25724.0,36450.0,7295649.0,2603.0,439320.0,178471.0,1358458.0,332288.0,1985.0,258756.0,7914600.0,1544122.0,246457.0,300440.0,273730.0,1111506.0,5928794.0,1078518.5666666667,47406.0,367645.0,1985806.0,0.2509041518206858,3.261753973668916
MN,Minnesota,5706494.0,20963.0,257353.0,273309.0,381650.0,357704.0,14680.0,39560.0,4353880.0,2621.0,236034.0,104347.0,392850.0,297460.0,1861.0,214681.0,4389033.0,483646.0,157651.0,241531.0,133078.0,298786.0,3509053.0,284810.7833333334,57046.0,218767.0,879980.0,0.2004951888035474,1.603961510428379
MS,Mississippi,2961279.0,7174.0,799388.0,41326.0,55178.0,44931.0,4638.0,9701.0,1639077.0,1037.0,83446.0,39081.0,1079001.0,32305.0,767.0,25718.0,2277599.0,1123613.0,53729.0,32717.0,53299.0,823080.0,1315451.0,813974.4666666667,14019.0,68637.0,962148.0,0.42243959538092524,1.689758381523701
MO,Missouri,6154913.0,22377.0,514169.0,146095.0,189624.0,179336.0,14896.0,18642.0,4663907.0,9293.0,307840.0,135751.0,692774.0,132158.0,6340.0,104558.0,4775612.0,798623.0,183435.0,129505.0,196192.0,562207.0,3723642.0,545678.7333333333,23496.0,197173.0,1051970.0,0.22027962070620477,1.7622369656496382
MT,Montana,1084225.0,4374.0,3781.0,53814.0,78545.0,16889.0,3326.0,42717.0,901318.0,839.0,54749.0,66134.0,5077.0,8077.0,642.0,6666.0,850123.0,12737.0,100578.0,11555.0,35530.0,7442.0,727553.0,6114.5666666666675,64592.0,29908.0,122570.0,0.1441791364308459,0.2883582728616918
NE,Nebraska,1961504.0,6335.0,66088.0,54771.0,75937.0,69006.0,4314.0,10112.0,1484687.0,1318.0,72634.0,35664.0,94405.0,52359.0,942.0,38794.0,1476127.0,124773.0,55260.0,47344.0,41325.0,78652.0,1169255.0,74122.85,15051.0,145297.0,306872.0,0.20788997152684016,0.6236699145805205
NV,Nevada,3104609.0,17170.0,219333.0,278822.0,338568.0,353592.0,12441.0,18317.0,1425951.0,22970.0,166919.0,78079.0,291960.0,265990.0,17118.0,224399.0,2413322.0,375198.0,105790.0,273325.0,106668.0,262830.0,1205650.0,240459.76666666666,23392.0,609396.0,1207672.0,0.5004189246192593,2.001675698477037
NH,New Hampshire,1377529.0,5916.0,13858.0,34989.0,44651.0,46861.0,4443.0,1930.0,1200649.0,388.0,54564.0,19304.0,18655.0,35604.0,303.0,27989.0,1120680.0,32998.0,25468.0,33822.0,36606.0,21772.0,995751.0,18035.98333333333,2299.0,39800.0,124929.0,0.1114760681015098,0.2229521362030196
NJ,New Jersey,9288994.0,70354.0,896947.0,804532.0,1034569.0,1046732.0,48057.0,8209.0,4816381.0,1944.0,289471.0,107657.0,1154142.0,942921.0,1586.0,740609.0,7281310.0,1413772.0,147877.0,793878.0,183507.0,1057822.0,3966396.0,943748.0166666667,11206.0,1435999.0,3314914.0,0.4552634072714937,5.463160887257924
NM,New Mexico,2117522.0,10340.0,30778.0,176673.0,237280.0,55997.0,7925.0,137360.0,772952.0,1451.0,59767.0,188477.0,38330.0,35261.0,1199.0,28989.0,1638989.0,68409.0,263615.0,41222.0,41912.0,46422.0,664062.0,36755.4,188610.0,726764.0,974927.0,0.5948343765577438,1.7845031296732317
NY,New York,20201176.0,197103.0,2176544.0,1766300.0,2211686.0,2173695.0,137510.0,42624.0,10598903.0,6096.0,720823.0,299118.0,2759014.0,1916325.0,4765.0,1551632.0,16088086.0,3533850.0,399801.0,1708822.0,487628.0,2700709.0,8761514.0,2309157.7666666666,54908.0,2925869.0,7326572.0,0.45540358250198315,11.840493145051562
NC,North Carolina,10439388.0,46340.0,1620569.0,373636.0,499132.0,425449.0,30113.0,77335.0,6312148.0,6980.0,406853.0,231359.0,2107526.0,340059.0,5144.0,257602.0,8155099.0,2344553.0,318279.0,302405.0,250392.0,1743052.0,5189633.0,1684627.1833333333,100886.0,724311.0,2965466.0,0.36363335380723155,5.090866953301242
ND,North Dakota,779094.0,1853.0,17608.0,36592.0,53550.0,18675.0,1284.0,24119.0,636160.0,869.0,30248.0,35031.0,26152.0,13050.0,643.0,10252.0,596093.0,34499.0,55777.0,13192.0,17431.0,21444.0,503153.0,20077.533333333333,37350.0,21603.0,92940.0,0.15591526825512125,0.15591526825512125
