ABBR,STATE,TOTPOP20,VAP20,POCVAP20,POCVAP20%,POCVAP20SEATS,2020_PRES_D,2020_PRES_R,2020_PRES_3P,2020_PRES_WHITE,2020_PRES_WHITE_D,2020_PRES_WHITE_R,2020_PRES_POC,2020_PRES_POC_D,2020_PRES_POC_R,REPRESENTATIVES,3,4,5
AL,Alabama,5024279.0,3917166.0,1352622.0,0.3453062749957494,2.417143924970246,849624,1441170,32488,0.74,0.21,0.77,0.26,0.81,0.18,7,1.0,1.0,0.0
AK,Alaska,733391.0,554003.0,213423.0,0.3852379860758876,0.3852379860758876,153778,189951,15801,0.72,0.44,0.53,0.28,0.44,0.52,1,,,
AZ,Arizona,7151502.0,5541976.0,2323882.0,0.4193237213585912,3.7739134922273214,1672143,1661686,53497,0.74,0.46,0.52,0.26,0.59,0.39,9,3.0,0.0,0.0
AR,Arkansas,3011524.0,2312273.0,658501.0,0.2847851443147068,1.1391405772588272,423932,760647,34490,0.82,0.26,0.72,0.18,0.74,0.21,4,,,
CA,California,39538223.0,30827105.0,19154208.0,0.6213430680565042,32.30983953893822,11110250,6006429,384192,0.49,0.51,0.47,0.51,0.75,0.23,52,4.0,0.0,8.0
CO,Colorado,5773714.0,4509576.0,1413912.0,0.313535463200975,2.5082837056078,1804352,1364607,87993,0.79,0.57,0.41,0.21,0.55,0.42,8,1.0,0.0,1.0
CT,Connecticut,3605944.0,2869227.0,955434.0,0.3329935205544908,1.664967602772454,1080831,714717,28309,0.81,0.55,0.43,0.19,0.75,0.22,5,,,
DE,Delaware,989948.0,783543.0,294317.0,0.3756232906171071,0.3756232906171071,296268,200603,7475,0.73,0.5,0.48,0.27,0.84,0.16,1,,,
FL,Florida,21538187.0,17339232.0,7862532.0,0.4534533017379316,12.696692448662086,5297045,5668731,101680,0.62,0.37,0.62,0.38,0.67,0.32,28,1.0,0.0,5.0
GA,Georgia,10711908.0,8220274.0,3877941.0,0.4717532529937566,6.604545541912593,2473633,2461854,62229,0.61,0.3,0.69,0.39,0.81,0.18,14,3.0,0.0,1.0
HI,Hawaii,1455271.0,1155905.0,880281.0,0.76155133856156,1.52310267712312,366130,196864,11475,0.29,0.63,0.35,0.71,0.64,0.34,2,,,
ID,Idaho,1839106.0,1376400.0,254934.0,0.1852179598953792,0.3704359197907585,287021,554119,26091,0.91,0.32,0.64,0.09,,,2,,,
IL,Illinois,12812508.0,9999469.0,3875921.0,0.3876126822334266,6.5894155979682525,3471915,2446891,114938,0.75,0.49,0.5,0.25,0.81,0.17,17,4.0,0.0,1.0
IN,Indiana,6785528.0,5192579.0,1126929.0,0.2170268377236051,1.9532415395124465,1242413,1729516,61183,0.87,0.36,0.61,0.13,0.72,0.27,9,3.0,0.0,0.0
IA,Iowa,3190369.0,2450103.0,356334.0,0.1454363347173567,0.5817453388694271,759061,897672,34138,0.92,0.43,0.55,0.8,0.64,0.35,4,,,
KS,Kansas,2937880.0,2229316.0,545334.0,0.2446194258687418,0.9784777034749672,570323,771406,30574,0.87,0.38,0.59,0.13,0.62,0.35,4,,,
KY,Kentucky,4505828.0,3483893.0,578354.0,0.1660079686718277,0.9960478120309664,772474,1326646,37648,0.88,0.33,0.66,0.12,0.62,0.36,6,2.0,0.0,0.0
LA,Louisiana,4657757.0,3570548.0,1488438.0,0.4168654223385318,2.501192534031191,856034,1255776,36252,0.69,0.22,0.77,0.31,0.79,0.18,6,2.0,0.0,0.0
